# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Tue Jul 01 10:53:28 EDT 2025 [seed=1751381601038]
# -save_every 100000 -save_state r1 -prefix r1_ -beagle_GPU -beagle_SSE -beagle_cuda ha_sc_gtrfg4i.xml
state	joint	prior	likelihood	rootHeight	treeLength	tmrca(gr21)	tmrca(gr22)	tmrca(prespa22)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	pInv	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-580340.715058387	-4718.82092118008	-575621.894137207	7.7750168223021685	146.1445052808429	1.363644508441888	3.017861874053346	2.9906783055045567	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.001	0.0010000000000000033	-575621.894137207	0.0	-4710.863582786014
40000	-229495.66465341792	-21751.67853932301	-207743.9861140949	7.455499196553124	856.5910301818678	1.434857337494269	7.455499196553124	1.224914574698102	14.313330501883113	1.0	1.0	0.995425517691518	0.9952897762574463	1.0186708574235412	0.9906138486274945	0.35983172230247296	0.3278651075803318	0.01765064735310389	0.017650647353103923	-207743.9861140949	0.0	-21725.805248464567
80000	-183028.0673708445	-22262.379558359215	-160765.6878124853	6.4754906282493065	1093.2908183760899	1.476125436872096	6.4754906282493065	1.0664464876086215	56.75670504953783	0.9986939074521175	1.013219760412704	0.9886135135545706	0.9910330385650684	1.0273891218859508	0.9810506581295884	0.45057605550385343	0.6660318463237693	0.03219024724083105	0.03219024724083097	-160765.6878124853	0.0	-22214.65376293146
120000	-166209.48441260925	-23551.86445506945	-142657.6199575398	6.194057962098093	1223.2366060945553	1.4142155268006065	2.5091023355782536	1.0664663903374814	80.42710218490052	1.0034938907751203	1.013219760412704	0.9907819594359734	0.9882329932637204	1.028020721305896	0.9762506748065857	0.6702387798984557	0.8431300108768666	0.022676479117230454	0.022676479117230613	-142657.6199575398	0.0	-23511.01335903572
160000	-151718.6958554898	-24389.875967791566	-127328.81988769822	7.155178343499359	1344.7892663060459	1.6950885906347855	5.136472678210723	0.9550353564821269	98.0039189125954	1.0027619193256123	1.0217945833275472	0.9702835994086189	0.9820011059353843	1.0437731671920043	0.979385624810833	0.7008695914294258	0.981083134508983	0.01555928779403912	0.015559287794039237	-127328.81988769822	0.0	-24355.799014604865
200000	-140923.68052467977	-24905.630376129833	-116018.05014854996	8.708975092562488	1427.3059823803408	1.6442864259729857	7.246444727646132	1.0125012695816766	108.5620058059385	1.0061114736370642	1.029407586057022	0.9592579377285995	0.9820011059353843	1.0480868857414594	0.9751350109004708	0.5375175746360884	0.981083134508983	0.011353390964995925	0.011353390964995899	-116018.05014854996	0.0	-24876.673903901425
240000	-132481.61379807716	-25164.86181648568	-107316.75198159149	10.231005337990783	1488.5149677588283	1.7518041743891652	4.997548875622951	0.9331602999343762	113.27702582185722	0.9982392231672803	1.032418984757715	0.9242895410948039	0.9820011059353843	1.080627406116362	0.9824237389284544	0.5749837369143829	0.9879378193392643	0.00886270037539141	0.008862700375391313	-107316.75198159149	0.0	-25138.940552815908
280000	-125551.34893286109	-25403.661565266946	-100147.68736759415	8.604564224396729	1533.8162835241176	1.5979746027347428	3.463498672567689	0.9331602999343762	126.11872978109803	0.9890665041518246	1.0513840295355383	0.914497215332436	0.9820011059353843	1.089421872281167	0.9736292727636494	0.5749837369143829	0.9883330026075096	0.0075721494186516474	0.0075721494186516145	-100147.68736759415	0.0	-25379.291833231153
320000	-118821.96548150729	-25528.572136371196	-93293.3933451361	9.809966518148165	1581.1364205026052	2.1958447901784623	3.3849452641132274	0.8395676459047815	128.77386352434394	0.9890665041518246	1.0513840295355383	0.914497215332436	0.9820011059353843	1.089421872281167	0.9736292727636494	0.5905546312482588	0.991820272859076	0.006803775832737393	0.00680377583273743	-93293.3933451361	0.0	-25505.07307452753
360000	-113403.60158133683	-25547.17144123525	-87856.43014010158	9.413094624660907	1592.0518352985584	1.6284485282932857	3.713604276474084	0.918824100156312	130.50816160448576	0.9889605756584486	1.0622353247918164	0.8950739081595515	0.9776818719373346	1.0983343849137048	0.9777139345391437	0.6380644748794224	0.9938544197820168	0.006325339380266871	0.0063253393802668745	-87856.43014010158	0.0	-25524.289587406383
